"filename", "language", "Jupyter", "comment", "blank", "total"
"/Users/andrevacha/Desktop/cs146/Final Project/Mauna Loa.ipynb", "Jupyter", 176, 0, 1, 177
"Total", "-", 176, 0, 1, 177
