"filename", "language", "Jupyter", "comment", "blank", "total"
"/Users/andrevacha/Desktop/cs166/Final Project/scratchpad.ipynb", "Jupyter", 637, 0, 1, 638
"Total", "-", 637, 0, 1, 638
